timestamp,cpu4,cpu6,cpu8,cpu10
1775425205921134,0,0,0,0
1775425205971909,0,0,0,0
1775425206022641,0,0,0,0
1775425206073372,0,0,0,0
1775425206124080,0,0,0,0
1775425206174771,0,0,0,0
1775425206225478,0,0,0,0
1775425206276124,0,0,0,0
1775425206326736,0,0,0,0
1775425206377407,0,0,0,0
1775425206428021,0,0,0,0
1775425206478655,0,0,0,0
1775425206529386,0,0,0,0
1775425206580086,0,0,0,0
1775425206630774,0,0,0,0
1775425206681385,80,0,0,0
1775425206732075,0,0,0,0
1775425206782774,0,0,0,0
1775425206833468,0,0,0,0
1775425206884070,0,0,0,0
1775425206934719,0,0,0,0
1775425206985437,0,0,0,0
1775425207036109,0,0,0,0
1775425207086812,0,0,0,0
1775425207137488,0,0,0,0
1775425207188098,0,0,0,0
1775425207238686,0,0,0,0
1775425207289320,0,0,0,0
1775425207339998,0,0,0,0
1775425207390633,0,0,0,0
1775425207441257,0,0,0,0
1775425207491874,0,0,0,0
1775425207542501,0,0,0,0
1775425207593154,0,0,0,0
1775425207643771,0,0,0,0
1775425207694443,66.6667,60,66.6667,40
1775425207745223,100,80,60,80
1775425207795909,50,40,40,20
1775425207846588,60,40,20,0
1775425207897233,60,50,20,20
1775425207947854,40,42.8571,16.6667,0
1775425207998429,25,0,0,0
1775425208049044,71.4286,0,0,0
1775425208099723,50,33.3333,16.6667,0
1775425208150365,50,25,0,0
1775425208200949,50,0,0,0
1775425208251601,40,20,16.6667,0
1775425208302203,40,33.3333,0,0
1775425208352831,50,0,0,0
1775425208403497,57.1429,33.3333,16.6667,0
1775425208454188,60,20,0,0
1775425208504805,40,50,0,0
1775425208555471,66.6667,20,20,0
1775425208606143,40,50,0,0
1775425208656780,60,0,16.6667,0
1775425208707360,50,20,20,0
1775425208757966,60,60,20,0
1775425208808595,60,0,0,0
1775425208859281,40,40,0,0
1775425208909933,25,28.5714,16.6667,0
1775425208960583,83.3333,40,0,20
1775425209011293,40,25,0,0
1775425209061888,60,0,0,0
1775425209112526,50,42.8571,0,0
1775425209163124,50,42.8571,0,0
1775425209213748,50,25,20,0
1775425209264374,60,25,20,0
1775425209315041,50,25,0,0
1775425209365654,25,25,16.6667,0
1775425209416273,50,33.3333,20,0
1775425209466900,50,0,0,0
1775425209517502,25,20,16.6667,0
1775425209568161,66.6667,20,20,0
1775425209618801,60,33.3333,0,0
1775425209669414,50,40,16.6667,0
1775425209720087,66.6667,50,0,0
1775425209770813,40,33.3333,0,0
1775425209821484,60,33.3333,20,0
1775425209872085,50,40,20,0
1775425209922740,75,50,20,0
1775425209973409,50,0,0,0
