sent_at_unix_ns,latency_us,status
1775241382841244008,11315,ok
1775241382867697387,8120,ok
1775241382886972929,11111,ok
1775241382898082392,14745,ok
1775241382922345520,4370,ok
1775241382899165983,32171,ok
1775241382928944415,9289,ok
1775241382903938621,37447,ok
1775241382955597942,8320,ok
1775241382959758728,8616,ok
1775241382963902394,8587,ok
1775241382978634207,4758,ok
1775241382988539468,7412,ok
1775241382989626347,9692,ok
1775241383031458367,11639,ok
1775241383047244359,7118,ok
1775241383059533378,11399,ok
1775241383072011430,10888,ok
1775241383083988329,3461,ok
1775241383082169355,10205,ok
1775241383108684420,2599,ok
1775241383105524089,7158,ok
1775241383123761756,6719,ok
1775241383139636055,7366,ok
1775241383148075322,6462,ok
1775241383159689101,6741,ok
1775241383178583051,3956,ok
1775241383194682237,6458,ok
1775241383218354478,6385,ok
1775241383248889057,4612,ok
1775241383253055252,9514,ok
1775241383258648255,6741,ok
1775241383259743567,8521,ok
1775241383285573423,3481,ok
1775241383279406913,12594,ok
1775241383291997438,5030,ok
1775241383295162695,3604,ok
1775241383312910897,6903,ok
1775241383315061527,4867,ok
1775241383323078838,6843,ok
1775241383344229113,7242,ok
1775241383341073600,11501,ok
1775241383349384941,5614,ok
1775241383353658628,3922,ok
1775241383355015972,3793,ok
1775241383354982832,7347,ok
1775241383388486821,5538,ok
1775241383391648405,3537,ok
1775241383400425851,2647,ok
1775241383396264228,8366,ok
1775241383405706887,2976,ok
1775241383415826914,3898,ok
1775241383407879670,12173,ok
1775241383425198686,3545,ok
1775241383427374632,3302,ok
1775241383429817178,2588,ok
1775241383455584371,5731,ok
1775241383459737829,6121,ok
1775241383465848251,3425,ok
1775241383466944609,2583,ok
1775241383474668837,1904,ok
1775241383475754520,2078,ok
1775241383479936842,5144,ok
1775241383482088452,6323,ok
1775241383483177046,6851,ok
1775241383486154013,6686,ok
1775241383491126658,2054,ok
1775241383491183891,3267,ok
1775241383504606178,3784,ok
1775241383505689650,8309,ok
1775241383529254835,3667,ok
1775241383528166336,6127,ok
1775241383540423425,2823,ok
1775241383547386344,2331,ok
1775241383551857584,4715,ok
1775241383562775631,2564,ok
1775241383570487376,3505,ok
1775241383571582697,4076,ok
1775241383591814840,3169,ok
1775241383605295613,7112,ok
1775241383603136886,9496,ok
1775241383606383030,8781,ok
1775241383613712533,3649,ok
1775241383619522199,2441,ok
1775241383620612399,1778,ok
1775241383618438785,4495,ok
1775241383624015721,2419,ok
1775241383630577857,3846,ok
1775241383632731368,2892,ok
1775241383637761112,4148,ok
1775241383658115608,2336,ok
1775241383661551078,2055,ok
1775241383660277071,3436,ok
1775241383660362940,3708,ok
1775241383666148738,4118,ok
1775241383669305087,2569,ok
1775241383671341162,3088,ok
1775241383677504654,3880,ok
1775241383692619170,2297,ok
1775241383691536398,5448,ok
1775241383698053535,4651,ok
1775241383702704155,1791,ok
1775241383708640811,4253,ok
1775241383710793340,5227,ok
1775241383713967710,3005,ok
1775241383716021773,3728,ok
1775241383718051105,1891,ok
1775241383730079948,4171,ok
1775241383731161909,3540,ok
1775241383738849246,1649,ok
1775241383739929780,1766,ok
1775241383753842570,3217,ok
1775241383756002109,2031,ok
1775241383759101616,1449,ok
1775241383771695908,2225,ok
1775241383777088202,1267,ok
1775241383779433903,3311,ok
1775241383782592834,2027,ok
1775241383787849208,3228,ok
1775241383794225185,2731,ok
1775241383796381709,1611,ok
1775241383803140829,2365,ok
1775241383840653667,2660,ok
1775241383850460253,2499,ok
1775241383858044634,1538,ok
1775241383864737747,3514,ok
1775241383869381127,2320,ok
1775241383871541688,2026,ok
1775241383879710176,2159,ok
1775241383881857053,2134,ok
1775241383890064350,3901,ok
1775241383898104979,1990,ok
1775241383899189656,2275,ok
1775241383900079009,1858,ok
1775241383904014738,1993,ok
1775241383909154820,6243,ok
1775241383912312758,5779,ok
1775241383916482140,4037,ok
1775241383920508787,3482,ok
1775241383925058937,2455,ok
1775241383932671474,3767,ok
1775241383933765362,3695,ok
1775241383935850602,2768,ok
1775241383945923755,4478,ok
1775241383942758761,7680,ok
1775241383947009599,5124,ok
1775241383952122036,8462,ok
1775241383961671540,1933,ok
1775241383967567648,3257,ok
1775241383949177948,23711,ok
1775241383976024573,5006,ok
1775241383981027556,4073,ok
1775241383983114279,5180,ok
1775241384005432671,2329,ok
1775241384019914615,2456,ok
1775241384022368337,2782,ok
1775241384024454812,2475,ok
1775241384030814868,1679,ok
1775241384028006338,4583,ok
1775241384034742658,3167,ok
1775241384037905258,2601,ok
1775241384040072247,3105,ok
1775241384040510515,3568,ok
1775241384053224176,2991,ok
1775241384058343623,2342,ok
1775241384059426356,2609,ok
1775241384069119119,2101,ok
1775241384084359657,1787,ok
1775241384086148645,1706,ok
1775241384091999414,4321,ok
1775241384095155154,2580,ok
1775241384101888518,4120,ok
1775241384107086781,3240,ok
1775241384111401216,2217,ok
1775241384112483194,2056,ok
1775241384114527418,1488,ok
1775241384117096732,1783,ok
1775241384119956858,3312,ok
1775241384140341965,1866,ok
1775241384153354777,3383,ok
1775241384154443888,4864,ok
1775241384163537603,2010,ok
1775241384162451981,4353,ok
1775241384167881397,2869,ok
1775241384173885887,3015,ok
1775241384174976833,3438,ok
1775241384181555517,2104,ok
1775241384183658330,4664,ok
1775241384184750247,3752,ok
1775241384189610788,1942,ok
1775241384188319892,3412,ok
1775241384193875549,1859,ok
1775241384207887743,1599,ok
1775241384212637107,1871,ok
1775241384216652408,1822,ok
1775241384217749380,2541,ok
1775241384223443010,3631,ok
1775241384227061256,1536,ok
1775241384230746256,1678,ok
1775241384232411628,2100,ok
1775241384243737116,3909,ok
1775241384249867432,4180,ok
1775241384253025153,1555,ok
1775241384260727499,1426,ok
1775241384263283067,3284,ok
1775241384275710489,2218,ok
1775241384277869730,2536,ok
1775241384279024306,4362,ok
1775241384280394430,3703,ok
1775241384280116384,4017,ok
1775241384282560321,4322,ok
1775241384290119546,2514,ok
1775241384289027852,3941,ok
1775241384294050517,3388,ok
1775241384296214002,1971,ok
1775241384302331027,2205,ok
1775241384306737319,4796,ok
1775241384321682873,4948,ok
1775241384325840350,1763,ok
1775241384330746020,2712,ok
1775241384331834015,5580,ok
1775241384342555743,2465,ok
1775241384345007838,2007,ok
1775241384348093866,2429,ok
1775241384353664030,1749,ok
1775241384355417357,1914,ok
1775241384368473684,1849,ok
1775241384369583403,1725,ok
1775241384372374686,1902,ok
1775241384375361356,1659,ok
1775241384386172930,2990,ok
1775241384392409265,2283,ok
1775241384391318922,3561,ok
1775241384392529144,5619,ok
1775241384395964854,2397,ok
1775241384397055295,1630,ok
1775241384406826929,1380,ok
1775241384410353279,2343,ok
1775241384413775229,1496,ok
1775241384419338857,4321,ok
1775241384420425529,3775,ok
1775241384432276444,2602,ok
1775241384434867669,1680,ok
1775241384437621081,1351,ok
1775241384441046060,1635,ok
1775241384444827159,3163,ok
1775241384451139488,1375,ok
1775241384456655390,2335,ok
1775241384460064806,3211,ok
1775241384462222938,3122,ok
1775241384466422967,4500,ok
1775241384472004434,2910,ok
1775241384474159031,2087,ok
1775241384478385869,1581,ok
1775241384487192371,3189,ok
1775241384492517987,1409,ok
1775241384497095069,3499,ok
1775241384498185587,2492,ok
1775241384503828951,1694,ok
1775241384507667401,2112,ok
1775241384511930968,2058,ok
1775241384516158816,1722,ok
1775241384515067180,3925,ok
1775241384517249383,6078,ok
1775241384522140513,3507,ok
1775241384524504767,2469,ok
1775241384524575487,4633,ok
1775241384523414710,6696,ok
1775241384530793908,6282,ok
1775241384538183524,2288,ok
1775241384537024580,3646,ok
1775241384542742473,3563,ok
1775241384546314434,2092,ok
1775241384525597462,23169,ok
1775241384550913351,4256,ok
1775241384562408594,2017,ok
1775241384561318508,4312,ok
1775241384565512831,1579,ok
1775241384569230590,3921,ok
1775241384578241305,2369,ok
1775241384584760291,2167,ok
1775241384588002515,3041,ok
1775241384596265664,2426,ok
1775241384598690859,2741,ok
1775241384601418548,4262,ok
1775241384606723927,1641,ok
1775241384605577098,2995,ok
1775241384607816401,2114,ok
1775241384609645201,3584,ok
1775241384613077351,1517,ok
1775241384615726189,2103,ok
1775241384619971985,1768,ok
1775241384621736519,1613,ok
1775241384616817027,6675,ok
1775241384625634471,6949,ok
1775241384631785096,3466,ok
1775241384636326968,1682,ok
1775241384638010761,1905,ok
1775241384640994357,1862,ok
1775241384647987644,1365,ok
1775241384649076324,2739,ok
1775241384653954951,2559,ok
1775241384672827520,3696,ok
1775241384669661185,7262,ok
1775241384680060976,2457,ok
1775241384684667320,1659,ok
1775241384685758720,2231,ok
1775241384691061064,1256,ok
1775241384702468403,2016,ok
1775241384703567591,2150,ok
1775241384706791819,1745,ok
1775241384707874238,3068,ok
1775241384713094983,1618,ok
1775241384710945224,4121,ok
1775241384724207734,2244,ok
1775241384724631709,1965,ok
1775241384730733742,4176,ok
1775241384735985583,2824,ok
1775241384743930220,3658,ok
1775241384745019702,3127,ok
1775241384747587018,1614,ok
1775241384755350305,1991,ok
1775241384756441444,1824,ok
1775241384758326755,1374,ok
1775241384769881078,2171,ok
1775241384769994392,3380,ok
1775241384772064916,4032,ok
1775241384774536149,2066,ok
1775241384779745785,3827,ok
1775241384793727402,2747,ok
1775241384796460486,3987,ok
1775241384802532817,1599,ok
1775241384805286566,2809,ok
1775241384810238445,1735,ok
1775241384816202723,1500,ok
1775241384815120786,4330,ok
1775241384821593342,4492,ok
1775241384826106540,1988,ok
1775241384824755695,3769,ok
1775241384828512485,3319,ok
1775241384828096284,4131,ok
1775241384835481532,1501,ok
1775241384834399537,3748,ok
1775241384836968911,1444,ok
1775241384839485697,2329,ok
1775241384840575577,3955,ok
1775241384842919085,3194,ok
1775241384844003983,2294,ok
1775241384846288482,1719,ok
1775241384847374081,1581,ok
1775241384850038530,1835,ok
1775241384848948780,3623,ok
1775241384851857283,2479,ok
1775241384855420082,2074,ok
1775241384854326420,3497,ok
1775241384858866825,2813,ok
1775241384862747636,1560,ok
1775241384864313444,2622,ok
1775241384866937853,3439,ok
1775241384868014976,3555,ok
1775241384870176563,1763,ok
1775241384875075771,6044,ok
1775241384879311924,2985,ok
1775241384878224638,5427,ok
1775241384885731074,3937,ok
1775241384889657325,1502,ok
1775241384896301835,3619,ok
1775241384908059207,2221,ok
1775241384911347221,1734,ok
1775241384912427698,1577,ok
1775241384918150935,2523,ok
1775241384926818490,1882,ok
1775241384927912562,2492,ok
1775241384928770278,1961,ok
1775241384928014519,3597,ok
1775241384930403503,2344,ok
1775241384930761249,3473,ok
1775241384934242394,2315,ok
1775241384938698870,5976,ok
1775241384942851720,1851,ok
1775241384948833237,1841,ok
1775241384950677172,1956,ok
1775241384962778922,1631,ok
1775241384965487559,3801,ok
1775241384973430580,1565,ok
1775241384979143582,1479,ok
1775241384982821593,2463,ok
1775241384983925011,2065,ok
1775241384985010724,3291,ok
1775241384985270380,3377,ok
1775241384988140803,1439,ok
1775241384991718323,3164,ok
1775241385020040408,1168,ok
1775241385022279007,2879,ok
1775241385027358263,1664,ok
1775241385028454293,3000,ok
1775241385031175069,2079,ok
1775241385039393941,2290,ok
1775241385041547826,1676,ok
1775241385042755961,1310,ok
1775241385048206206,3108,ok
1775241385050358915,2563,ok
1775241385052387402,1775,ok
1775241385058389210,1627,ok
1775241385057299728,2877,ok
1775241385060256071,1565,ok
1775241385060181033,2385,ok
1775241385061808361,2007,ok
1775241385063622671,1614,ok
1775241385066311976,2629,ok
1775241385071085248,1627,ok
1775241385068475173,5020,ok
1775241385072171479,3213,ok
1775241385075393614,3816,ok
1775241385085348834,2145,ok
1775241385097650637,1685,ok
1775241385099340905,4544,ok
1775241385102496054,2080,ok
1775241385106713898,2801,ok
1775241385111696640,1888,ok
1775241385110603988,3616,ok
1775241385109517210,4706,ok
1775241385114191575,1898,ok
1775241385116095793,1948,ok
1775241385123187429,3714,ok
1775241385126347821,2128,ok
1775241385130617706,2852,ok
1775241385134600938,5084,ok
1775241385139696716,1955,ok
1775241385146799475,3216,ok
1775241385151085428,1678,ok
1775241385152762138,3539,ok
1775241385155931740,1759,ok
1775241385163933387,1817,ok
1775241385162846899,4404,ok
1775241385165026224,2461,ok
1775241385166823988,3217,ok
1775241385170042177,1813,ok
1775241385171130709,2638,ok
1775241385171853316,3372,ok
1775241385178355471,3003,ok
1775241385187500165,3249,ok
1775241385191819759,2554,ok
1775241385193979999,3640,ok
1775241385197518068,1636,ok
1775241385198661407,1995,ok
1775241385202792622,2971,ok
1775241385204947121,3629,ok
1775241385206857591,4515,ok
1775241385212449933,1645,ok
1775241385213538706,1972,ok
1775241385215168110,1785,ok
1775241385228093038,2078,ok
1775241385235310452,1998,ok
1775241385237294339,2857,ok
1775241385239386311,3357,ok
1775241385242296821,1345,ok
1775241385248785168,2905,ok
1775241385254826447,3096,ok
1775241385261124709,1903,ok
1775241385261062629,2572,ok
1775241385266866605,1747,ok
1775241385265778287,3163,ok
1775241385270010785,1732,ok
1775241385267952896,4629,ok
1775241385271102515,1761,ok
1775241385271741247,3019,ok
1775241385277898778,2897,ok
1775241385289947881,3328,ok
1775241385293106204,1512,ok
1775241385294346506,1985,ok
1775241385296320931,1713,ok
1775241385297409346,1852,ok
1775241385300333131,2396,ok
1775241385304877325,2021,ok
1775241385306887145,3186,ok
1775241385307982363,2444,ok
1775241385309072122,1608,ok
1775241385310077551,2098,ok
1775241385311747900,3537,ok
1775241385317430676,1927,ok
1775241385319354429,1814,ok
1775241385325386814,1357,ok
1775241385324305063,5793,ok
1775241385326749023,4993,ok
1775241385328925688,3470,ok
