sent_at_unix_ns,latency_us,status
1775317814935668191,13880,ok
1775317814952747762,8918,ok
1775317814938876089,24194,ok
1775317814962736492,11265,ok
1775317814940568165,39525,ok
1775317814948918724,33367,ok
1775317814972488965,10769,ok
1775317814955361557,32082,ok
1775317814985064030,10310,ok
1775317814985462313,10028,ok
1775317814953956692,44618,ok
1775317814996559524,8225,ok
1775317814955212999,50883,ok
1775317815010307592,8140,ok
1775317815024971291,5108,ok
1775317815020592485,13587,ok
1775317815021686110,13142,ok
1775317815023876955,11116,ok
1775317815022776454,17287,ok
1775317815029128906,14752,ok
1775317815036071526,8992,ok
1775317815040048402,8683,ok
1775317815051877934,8905,ok
1775317815061856413,4601,ok
1775317815065114962,4123,ok
1775317815064009633,7369,ok
1775317815073605071,4164,ok
1775317815075764305,4196,ok
1775317815081044365,6317,ok
1775317815089503332,7772,ok
1775317815090592420,7116,ok
1775317815095756771,7965,ok
1775317815105874446,6520,ok
1775317815098859128,13929,ok
1775317815113871226,7244,ok
1775317815161278834,3655,ok
1775317815171083796,3199,ok
1775317815175360537,5976,ok
1775317815178513534,3810,ok
1775317815188467001,6344,ok
1775317815219938786,2283,ok
1775317815225363846,5837,ok
1775317815241406076,6467,ok
1775317815259015382,2343,ok
1775317815266501285,2876,ok
1775317815267595011,2703,ok
1775317815279455061,6128,ok
1775317815301811247,6358,ok
1775317815306968638,5995,ok
1775317815312314918,3343,ok
1775317815315110729,5988,ok
1775317815322204347,2187,ok
1775317815339539100,5628,ok
1775317815347311815,4193,ok
1775317815347336961,6124,ok
1775317815352578100,2612,ok
1775317815361329129,6803,ok
1775317815373280960,5497,ok
1775317815379855144,2202,ok
1775317815380956319,3358,ok
1775317815378754051,6175,ok
1775317815389078488,3739,ok
1775317815390160666,5713,ok
1775317815395861456,5670,ok
1775317815405835725,2452,ok
1775317815403681318,7131,ok
1775317815409393406,3059,ok
1775317815414596260,2622,ok
1775317815417205250,2787,ok
1775317815421066375,2162,ok
1775317815436384795,5656,ok
1775317815449248910,5487,ok
1775317815459880289,3057,ok
1775317815471173539,1706,ok
1775317815470082550,3106,ok
1775317815474264261,5457,ok
1775317815487806440,1857,ok
1775317815491802205,3336,ok
1775317815500288571,1668,ok
1775317815504156024,2844,ok
1775317815513145849,1486,ok
1775317815515707074,5313,ok
1775317815531178297,4976,ok
1775317815533337514,5715,ok
1775317815546196128,6096,ok
1775317815558436813,1900,ok
1775317815559521711,2511,ok
1775317815563115232,1482,ok
1775317815561411429,4053,ok
1775317815565449068,3902,ok
1775317815568613853,2682,ok
1775317815572375053,3841,ok
1775317815580364624,3939,ok
1775317815582526463,2272,ok
1775317815585879525,2147,ok
1775317815590170988,5791,ok
1775317815592327346,3724,ok
1775317815597127784,4746,ok
1775317815609022101,3839,ok
1775317815635006718,2208,ok
1775317815649365837,1761,ok
1775317815651215901,3456,ok
1775317815654372388,2296,ok
1775317815656657168,2315,ok
1775317815666120669,1638,ok
1775317815667747998,3693,ok
1775317815669907402,1606,ok
1775317815675655620,2150,ok
1775317815686948790,2189,ok
1775317815689123413,1638,ok
1775317815697918930,2014,ok
1775317815701002175,3661,ok
1775317815702092823,4383,ok
1775317815704256473,2251,ok
1775317815705740208,3121,ok
1775317815728015362,3079,ok
1775317815729106344,2595,ok
1775317815739843947,2211,ok
1775317815753209048,1562,ok
1775317815767935416,3982,ok
1775317815774057497,1935,ok
1775317815778141707,2549,ok
1775317815786862740,5356,ok
1775317815790023466,5152,ok
1775317815794373003,3791,ok
1775317815796251063,2469,ok
1775317815810793547,2935,ok
1775317815813045224,4737,ok
