timestamp,cpu4,cpu6,cpu8,cpu10
1775317814480585,0,0,0,0
1775317814531092,0,0,0,0
1775317814581667,0,0,0,0
1775317814632145,0,0,0,0
1775317814682712,0,0,0,0
1775317814733311,0,0,0,0
1775317814783822,0,0,0,0
1775317814834398,0,0,0,0
1775317814884950,0,0,0,0
1775317814935427,0,0,0,0
1775317814986014,66.6667,50,60,80
1775317815036699,50,80,66.6667,40
1775317815087340,50,0,25,50
1775317815138005,25,0,20,50
1775317815188525,0,0,0,20
1775317815239142,20,0,0,0
1775317815289701,33.3333,0,0,0
1775317815340209,25,0,0,20
1775317815390777,60,0,16.6667,0
1775317815441350,40,0,25,0
1775317815491979,42.8571,0,0,0
1775317815542532,25,0,28.5714,0
1775317815593094,25,0,40,0
1775317815643613,20,0,20,0
1775317815694184,33.3333,0,20,0
1775317815744711,33.3333,0,16.6667,20
1775317815795224,0,0,0,42.8571
1775317815845750,16.6667,0,0,25
1775317815896393,0,0,0,0
1775317815946930,0,0,42.8571,20
1775317815997505,33.3333,0,0,33.3333
1775317816048096,16.6667,0,20,25
1775317816098674,25,0,0,0
1775317816149352,50,0,16.6667,20
1775317816199943,0,0,20,0
1775317816250667,50,0,40,50
1775317816301330,25,0,20,0
1775317816351919,20,0,33.3333,0
1775317816402500,40,0,20,0
1775317816453145,20,0,33.3333,0
1775317816503738,40,0,50,0
1775317816554347,16.6667,0,20,40
1775317816605004,0,0,33.3333,50
1775317816655606,60,0,20,20
1775317816706233,20,0,40,0
1775317816756794,20,0,33.3333,0
1775317816807431,16.6667,0,60,40
1775317816858085,40,0,0,50
1775317816908726,20,20,20,50
1775317816959362,0,40,50,25
1775317817010007,0,40,0,40
1775317817060646,25,0,20,20
1775317817111299,33.3333,20,20,40
1775317817161976,25,33.3333,0,20
1775317817212568,20,25,0,25
1775317817263180,20,0,0,16.6667
1775317817313797,33.3333,50,0,40
1775317817364539,20,40,0,50
1775317817415195,20,50,40,0
1775317817465909,20,50,33.3333,20
1775317817516640,0,40,0,40
1775317817567284,0,0,57.1429,50
1775317817617920,50,0,40,50
1775317817668567,20,0,80,16.6667
1775317817719221,0,20,0,60
1775317817769898,60,40,0,0
1775317817820535,60,40,0,0
1775317817871192,40,16.6667,0,40
1775317817921848,80,0,20,25
1775317817972502,50,40,0,20
1775317818023190,40,25,40,20
1775317818073839,50,50,16.6667,57.1429
1775317818124503,50,25,0,25
1775317818175178,40,66.6667,25,20
1775317818225805,0,60,42.8571,20
1775317818276434,0,20,50,60
1775317818327088,25,25,25,28.5714
1775317818377723,33.3333,66.6667,0,0
1775317818428373,33.3333,57.1429,0,40
1775317818479039,60,0,33.3333,40
1775317818529702,0,66.6667,50,0
1775317818580345,33.3333,40,25,0
1775317818631121,50,40,80,25
1775317818681798,33.3333,0,25,40
1775317818732438,20,60,20,40
1775317818783092,40,40,0,0
1775317818833783,0,0,66.6667,16.6667
1775317818884440,60,20,20,25
1775317818935154,57.1429,0,0,40
1775317818985807,40,40,71.4286,0
1775317819036567,50,0,60,20
1775317819087313,40,0,50,20
1775317819138005,25,25,57.1429,60
1775317819188657,16.6667,33.3333,40,71.4286
1775317819239301,50,20,0,40
1775317819289945,0,25,33.3333,40
1775317819340619,40,40,20,75
1775317819391276,0,50,0,66.6667
1775317819441879,0,60,33.3333,40
1775317819492577,20,40,0,25
1775317819543237,0,40,0,40
1775317819593887,20,60,33.3333,25
1775317819644551,20,0,50,60
1775317819695275,33.3333,0,71.4286,16.6667
1775317819745901,60,20,40,50
1775317819796581,25,20,25,60
1775317819847326,33.3333,0,33.3333,40
1775317819897986,50,50,40,40
1775317819948629,50,20,0,40
1775317819999310,50,0,16.6667,66.6667
1775317820050039,0,60,40,0
1775317820100680,75,50,60,0
1775317820151332,50,40,25,20
1775317820201971,25,0,33.3333,0
1775317820252601,20,0,25,40
1775317820303276,0,50,40,50
1775317820353936,50,0,60,75
1775317820404595,33.3333,50,40,33.3333
1775317820455262,50,40,40,20
1775317820505932,60,40,75,50
1775317820556617,25,83.3333,80,60
1775317820607300,83.3333,25,20,40
1775317820657937,40,66.6667,40,33.3333
1775317820708636,33.3333,25,71.4286,40
1775317820759300,50,40,0,60
1775317820809964,40,33.3333,60,60
1775317820860623,60,66.6667,20,40
1775317820911321,40,66.6667,60,16.6667
1775317820961987,75,60,33.3333,50
1775317821012662,60,25,60,60
1775317821063324,25,66.6667,0,60
1775317821114001,0,50,66.6667,25
1775317821164660,50,57.1429,50,33.3333
1775317821215534,66.6667,25,40,75
1775317821266180,50,60,60,20
1775317821316818,57.1429,66.6667,50,33.3333
1775317821367529,40,66.6667,25,50
1775317821418211,50,40,20,50
1775317821468848,50,0,50,60
1775317821519507,40,50,50,20
1775317821570163,60,33.3333,20,0
1775317821620817,66.6667,66.6667,25,50
1775317821671486,20,80,50,60
1775317821722156,33.3333,25,20,25
1775317821772815,75,60,20,50
1775317821823479,40,66.6667,0,60
1775317821874135,20,50,50,40
1775317821924773,25,60,50,33.3333
1775317821975527,66.6667,40,50,50
1775317822026191,50,40,0,50
1775317822076845,50,25,25,33.3333
1775317822127502,40,50,75,75
1775317822178197,50,60,50,40
1775317822228942,66.6667,50,20,83.3333
1775317822279649,20,60,20,25
1775317822330409,0,20,80,50
1775317822381102,33.3333,40,60,66.6667
1775317822431754,50,40,66.6667,0
1775317822482418,80,80,50,50
1775317822533085,50,0,75,40
1775317822583753,60,60,50,57.1429
1775317822634428,50,60,40,40
1775317822685102,60,20,66.6667,50
1775317822735820,57.1429,50,80,60
1775317822786489,33.3333,60,25,60
1775317822837140,50,50,62.5,60
1775317822887825,40,33.3333,25,50
1775317822938557,100,100,100,100
1775317822989254,83.3333,83.3333,75,66.6667
1775317823039949,100,80,80,75
1775317823090637,71.4286,83.3333,40,66.6667
1775317823141384,80,75,66.6667,40
1775317823192060,40,60,50,60
1775317823242728,75,33.3333,60,33.3333
1775317823293499,66.6667,40,83.3333,0
1775317823344183,50,66.6667,60,40
1775317823394875,71.4286,75,33.3333,80
1775317823445617,80,80,60,40
1775317823496340,40,60,66.6667,50
1775317823547025,60,60,60,33.3333
1775317823597692,60,80,60,33.3333
1775317823648325,60,50,50,40
1775317823699008,25,60,80,50
1775317823749707,50,80,0,75
1775317823800388,66.6667,60,50,60
1775317823851090,60,25,66.6667,80
1775317823901776,83.3333,80,50,85.7143
1775317823952490,60,25,80,0
1775317824003205,100,75,100,80
1775317824053908,40,71.4286,50,60
1775317824104602,80,50,60,66.6667
1775317824155316,33.3333,50,50,20
1775317824206041,66.6667,20,50,40
1775317824256727,40,75,80,50
1775317824307393,100,25,60,60
1775317824358048,60,60,60,80
1775317824408732,60,50,20,60
1775317824459509,60,50,60,80
1775317824510196,66.6667,66.6667,60,60
1775317824560877,66.6667,100,80,66.6667
1775317824611565,75,50,75,80
1775317824662262,50,40,66.6667,50
1775317824712945,85.7143,20,60,60
1775317824763618,60,80,75,40
1775317824814336,75,40,80,80
1775317824865020,66.6667,66.6667,60,83.3333
1775317824915726,50,60,66.6667,80
1775317824966389,66.6667,75,66.6667,33.3333
1775317825017052,60,60,80,50
1775317825067736,75,0,20,60
1775317825118430,66.6667,60,80,80
1775317825169117,83.3333,66.6667,50,71.4286
1775317825219816,60,83.3333,75,80
1775317825270533,40,80,60,60
1775317825321205,60,40,60,60
1775317825371897,66.6667,50,75,80
1775317825422641,75,50,66.6667,80
1775317825473309,66.6667,66.6667,60,16.6667
1775317825524004,66.6667,60,60,50
1775317825574732,60,75,66.6667,66.6667
1775317825625472,50,40,50,80
1775317825676159,80,75,50,80
1775317825726840,83.3333,60,60,60
1775317825777565,50,66.6667,60,80
1775317825828342,60,50,75,50
1775317825879108,60,66.6667,33.3333,80
1775317825929808,66.6667,0,66.6667,66.6667
1775317825980469,50,66.6667,60,60
1775317826031157,60,66.6667,66.6667,60
1775317826081877,80,80,50,83.3333
1775317826132694,83.3333,100,100,80
1775317826183378,75,71.4286,33.3333,80
1775317826234052,75,80,50,80
1775317826284749,80,50,20,66.6667
1775317826335476,57.1429,60,80,66.6667
1775317826386206,75,66.6667,66.6667,60
1775317826436897,75,75,66.6667,60
1775317826487585,83.3333,80,50,40
1775317826538273,80,40,60,66.6667
1775317826588942,25,50,60,80
1775317826639635,80,40,80,60
1775317826690325,50,50,66.6667,75
1775317826741034,60,50,60,57.1429
1775317826791736,50,75,66.6667,40
1775317826842420,75,60,60,66.6667
1775317826893184,100,80,80,80
1775317826943923,85.7143,66.6667,50,50
1775317826994601,75,50,80,50
1775317827045260,50,60,80,66.6667
1775317827095981,75,100,66.6667,83.3333
1775317827146733,83.3333,80,80,80
1775317827197500,75,60,80,75
1775317827248215,80,60,80,60
1775317827299042,83.3333,60,66.6667,80
1775317827349734,75,60,80,40
1775317827400398,50,66.6667,60,66.6667
1775317827451373,60,40,40,75
1775317827502117,100,80,100,80
1775317827552904,80,66.6667,66.6667,60
1775317827603618,60,80,80,80
1775317827654344,100,83.3333,100,80
1775317827705116,80,80,80,83.3333
1775317827755812,71.4286,66.6667,25,20
1775317827806487,100,66.6667,50,66.6667
1775317827857201,66.6667,60,40,50
1775317827907900,60,50,50,66.6667
1775317827958573,40,50,60,60
1775317828009265,75,80,50,50
1775317828059930,66.6667,60,50,75
1775317828110618,20,60,40,66.6667
1775317828161400,80,100,60,80
1775317828212127,20,50,50,66.6667
1775317828262849,66.6667,40,60,50
1775317828313581,60,80,50,75
1775317828364256,60,50,80,50
1775317828415041,66.6667,50,50,60
1775317828465784,40,80,25,66.6667
1775317828516491,60,83.3333,40,100
1775317828567209,50,25,60,60
1775317828617897,25,60,60,50
1775317828669594,80,60,83.3333,80
1775317828720425,80,66.6667,40,66.6667
1775317828771121,66.6667,40,60,50
1775317828821848,100,60,83.3333,60
1775317828872549,50,75,60,66.6667
1775317828923291,40,60,60,80
1775317828973971,60,80,83.3333,50
1775317829024665,83.3333,80,66.6667,80
1775317829075368,25,50,66.6667,60
1775317829126047,60,66.6667,66.6667,66.6667
1775317829176763,83.3333,100,75,75
1775317829227433,60,66.6667,60,50
1775317829278106,40,60,40,75
1775317829328886,60,80,83.3333,100
1775317829379610,85.7143,40,75,60
1775317829430283,80,80,40,83.3333
1775317829480958,60,75,60,60
1775317829531617,60,66.6667,60,50
1775317829582274,50,75,57.1429,33.3333
1775317829632987,50,100,66.6667,66.6667
1775317829683705,100,50,75,83.3333
1775317829734389,60,75,80,80
1775317829785138,80,100,100,60
1775317829835821,40,60,75,50
1775317829886496,60,20,40,83.3333
1775317829937176,66.6667,80,66.6667,33.3333
1775317829987867,20,71.4286,60,66.6667
1775317830038585,66.6667,40,60,40
1775317830089277,20,60,33.3333,50
1775317830139945,40,75,50,60
1775317830190669,75,75,83.3333,60
1775317830241435,60,66.6667,20,40
1775317830292252,80,75,71.4286,100
1775317830343047,40,40,75,60
1775317830393713,75,80,60,83.3333
1775317830444376,66.6667,80,57.1429,75
1775317830495067,60,0,50,33.3333
1775317830545767,60,40,20,66.6667
1775317830596446,60,60,60,25
1775317830647127,60,40,60,60
1775317830697810,50,25,50,66.6667
1775317830748592,60,66.6667,80,83.3333
1775317830799369,100,100,100,83.3333
1775317830850064,100,100,100,100
1775317830900836,83.3333,85.7143,100,100
1775317830951523,75,80,66.6667,60
1775317831002192,75,80,75,83.3333
1775317831052912,83.3333,80,80,100
1775317831103675,83.3333,100,83.3333,100
1775317831154389,60,40,60,75
1775317831205064,80,75,40,62.5
1775317831255735,66.6667,33.3333,83.3333,25
1775317831306424,66.6667,75,60,75
1775317831357152,83.3333,83.3333,100,66.6667
1775317831407906,100,100,83.3333,75
1775317831458609,40,66.6667,25,75
1775317831509312,80,80,80,71.4286
1775317831560013,66.6667,80,80,60
1775317831610742,60,50,60,50
1775317831661452,80,75,66.6667,66.6667
1775317831712122,66.6667,25,80,60
1775317831762880,50,66.6667,60,60
1775317831813619,66.6667,80,83.3333,60
1775317831864310,66.6667,75,40,100
1775317831915010,50,66.6667,75,50
1775317831965697,66.6667,60,50,66.6667
1775317832016364,40,83.3333,60,80
1775317832067197,66.6667,100,50,50
1775317832117899,80,60,50,50
1775317832168564,80,80,80,80
1775317832219344,75,80,50,75
1775317832270062,80,40,66.6667,66.6667
1775317832320759,60,60,50,60
1775317832371427,50,66.6667,50,25
1775317832422085,60,60,75,80
1775317832472777,83.3333,50,66.6667,83.3333
1775317832523482,66.6667,60,60,75
1775317832574153,50,60,50,83.3333
1775317832624817,66.6667,60,66.6667,60
1775317832675494,60,40,66.6667,75
1775317832726163,83.3333,60,66.6667,60
1775317832776830,60,25,66.6667,80
1775317832827548,60,66.6667,60,60
1775317832878309,60,60,100,83.3333
1775317832929068,60,75,50,60
1775317832979744,83.3333,83.3333,80,100
1775317833030443,75,60,75,60
1775317833081106,60,50,50,33.3333
1775317833131750,80,40,50,50
1775317833182430,50,75,40,75
1775317833233131,60,60,50,60
1775317833283915,80,40,80,66.6667
1775317833334638,66.6667,75,40,83.3333
1775317833385377,80,83.3333,80,60
1775317833436063,75,80,40,80
1775317833486768,80,83.3333,80,60
1775317833537819,20,40,50,60
1775317833588552,71.4286,75,100,83.3333
1775317833639332,60,71.4286,60,60
1775317833690011,100,80,40,50
1775317833740696,40,60,85.7143,75
1775317833791390,40,80,60,50
1775317833842078,60,40,75,50
1775317833892752,50,60,66.6667,66.6667
1775317833943491,80,100,100,83.3333
1775317833994182,60,60,75,50
1775317834044900,60,75,50,66.6667
1775317834095573,50,50,40,50
1775317834146237,50,50,60,50
1775317834196910,60,83.3333,80,40
1775317834247604,71.4286,50,60,60
1775317834298311,66.6667,50,40,50
1775317834349020,40,83.3333,66.6667,100
1775317834399708,60,75,75,50
1775317834450447,60,71.4286,80,75
1775317834501144,60,60,80,40
1775317834551834,80,50,66.6667,80
1775317834602539,50,40,60,60
1775317834653230,71.4286,60,60,71.4286
1775317834703943,50,50,66.6667,50
1775317834754631,60,75,60,40
1775317834805366,50,60,60,40
1775317834856066,80,40,66.6667,60
1775317834906776,40,75,66.6667,80
1775317834957551,60,80,75,66.6667
1775317835008257,40,60,0,50
1775317835059047,40,60,66.6667,80
1775317835109775,80,25,75,60
1775317835160464,66.6667,33.3333,57.1429,80
1775317835211149,50,25,80,40
1775317835261860,50,60,75,80
1775317835312618,80,85.7143,83.3333,83.3333
1775317835363310,75,75,66.6667,66.6667
1775317835414002,33.3333,60,25,25
1775317835464688,40,66.6667,50,25
1775317835515480,66.6667,50,60,83.3333
1775317835566169,66.6667,75,50,60
1775317835616929,80,60,75,60
1775317835667676,20,80,40,83.3333
1775317835718373,83.3333,83.3333,75,50
1775317835769072,20,83.3333,80,50
1775317835819789,60,80,33.3333,75
1775317835870466,75,50,66.6667,75
1775317835921133,66.6667,57.1429,83.3333,80
1775317835971831,75,33.3333,83.3333,83.3333
1775317836022495,60,40,33.3333,0
1775317836073191,40,40,60,50
1775317836123886,80,60,60,83.3333
1775317836174559,83.3333,40,40,40
1775317836225260,66.6667,50,60,33.3333
1775317836275936,66.6667,57.1429,66.6667,60
1775317836326598,66.6667,75,50,50
1775317836377256,80,60,40,60
1775317836427920,60,80,50,40
1775317836478582,60,60,40,50
1775317836529268,75,83.3333,40,66.6667
1775317836579955,66.6667,66.6667,60,80
1775317836630627,80,80,50,40
1775317836681347,50,50,80,75
1775317836732011,75,60,33.3333,40
1775317836782749,50,80,60,60
1775317836833461,80,40,66.6667,80
1775317836884142,80,20,50,66.6667
1775317836934820,50,40,60,50
1775317836985511,40,66.6667,80,20
1775317837036185,40,60,60,50
1775317837086942,60,60,40,40
1775317837137706,60,40,0,60
1775317837188403,33.3333,60,66.6667,60
1775317837239188,80,60,80,75
1775317837289910,50,100,60,50
1775317837340581,75,80,83.3333,25
1775317837391302,57.1429,50,50,60
1775317837441962,50,50,83.3333,40
1775317837492683,100,50,66.6667,66.6667
1775317837543380,66.6667,40,60,60
1775317837594056,80,75,75,40
1775317837644738,66.6667,83.3333,80,50
1775317837695476,75,66.6667,66.6667,40
1775317837746251,25,66.6667,66.6667,60
1775317837796966,66.6667,60,66.6667,80
1775317837847654,40,80,66.6667,80
1775317837898397,83.3333,40,60,25
1775317837949099,75,60,80,80
1775317837999825,83.3333,66.6667,83.3333,40
1775317838050504,60,66.6667,75,100
1775317838101252,50,50,50,60
1775317838152054,80,75,50,40
1775317838202780,80,60,80,80
1775317838253581,83.3333,80,100,100
1775317838304282,75,83.3333,66.6667,50
1775317838354997,66.6667,40,40,80
1775317838405684,50,0,75,60
1775317838456337,60,40,60,25
1775317838507056,60,50,40,50
1775317838557794,75,25,75,66.6667
1775317838608476,60,80,66.6667,80
1775317838659199,50,60,40,50
1775317838709894,75,100,80,25
1775317838760686,80,60,80,83.3333
1775317838811397,50,83.3333,66.6667,75
1775317838862151,40,40,66.6667,75
1775317838912885,50,80,50,50
1775317838963646,40,60,66.6667,80
1775317839014369,60,80,80,40
1775317839065077,60,66.6667,50,50
1775317839115800,40,80,50,75
1775317839166521,50,71.4286,60,20
1775317839217226,60,50,33.3333,71.4286
1775317839267901,60,60,57.1429,50
1775317839318607,25,66.6667,50,40
1775317839369316,60,75,80,66.6667
1775317839420009,75,33.3333,50,57.1429
1775317839470701,60,66.6667,80,75
1775317839521520,66.6667,57.1429,60,40
1775317839572235,75,75,80,80
1775317839622919,40,50,71.4286,80
1775317839673682,66.6667,80,50,60
1775317839724628,100,75,80,66.6667
1775317839775352,66.6667,80,40,75
1775317839826044,60,25,66.6667,50
1775317839876728,71.4286,60,80,60
1775317839927515,66.6667,66.6667,80,50
1775317839978233,60,75,50,60
1775317840028934,50,60,50,50
1775317840079602,60,50,83.3333,60
1775317840130289,60,25,60,60
1775317840180974,40,60,60,40
1775317840231636,66.6667,60,66.6667,50
1775317840282312,50,75,80,75
1775317840332979,80,50,40,71.4286
1775317840383654,40,66.6667,80,40
1775317840434398,100,100,100,100
1775317840485138,57.1429,75,83.3333,40
1775317840535858,83.3333,60,80,60
1775317840586551,100,100,60,60
1775317840637288,60,50,60,25
1775317840687990,60,60,75,50
1775317840738746,50,100,80,60
1775317840789479,83.3333,60,60,60
1775317840840174,57.1429,66.6667,50,40
1775317840890856,33.3333,75,100,83.3333
1775317840941574,80,50,50,40
1775317840992335,40,50,60,50
1775317841043108,60,66.6667,66.6667,83.3333
1775317841093813,40,80,75,66.6667
1775317841144589,60,66.6667,83.3333,75
1775317841195313,80,0,50,40
1775317841245986,40,40,83.3333,40
1775317841296696,66.6667,80,80,75
1775317841347464,60,66.6667,40,66.6667
1775317841398225,50,60,75,60
1775317841448980,80,100,60,66.6667
1775317841499660,66.6667,60,50,60
1775317841550321,50,40,25,50
1775317841601091,40,60,80,80
1775317841651796,75,60,80,40
1775317841702484,71.4286,75,40,75
1775317841753235,80,60,83.3333,66.6667
1775317841803916,0,60,60,80
1775317841854586,40,50,60,60
1775317841905338,100,50,60,83.3333
1775317841956012,60,66.6667,75,80
1775317842006684,60,60,80,60
1775317842057367,66.6667,75,80,60
1775317842108051,60,50,80,40
1775317842158725,60,60,66.6667,60
1775317842209544,75,75,60,25
1775317842260271,83.3333,60,40,66.6667
1775317842310976,25,40,80,66.6667
1775317842361678,80,75,83.3333,80
1775317842412351,50,75,50,75
1775317842463018,83.3333,66.6667,80,50
1775317842513694,50,20,50,66.6667
1775317842564453,50,60,66.6667,60
1775317842615141,40,40,40,60
1775317842665868,66.6667,75,60,75
1775317842716576,50,50,60,60
1775317842767273,25,60,60,71.4286
1775317842817959,66.6667,60,40,80
1775317842868658,75,83.3333,66.6667,50
1775317842919338,60,50,83.3333,83.3333
1775317842970086,75,40,50,75
1775317843020776,66.6667,57.1429,75,83.3333
1775317843071446,75,60,60,40
1775317843122195,75,40,50,60
1775317843172922,80,40,40,66.6667
1775317843223696,80,100,80,80
1775317843274403,66.6667,40,60,50
1775317843325090,60,80,75,83.3333
1775317843375790,80,66.6667,66.6667,66.6667
1775317843426517,80,100,66.6667,75
1775317843477196,80,50,80,66.6667
1775317843527903,75,75,80,60
1775317843578636,83.3333,75,100,100
1775317843629449,83.3333,83.3333,83.3333,83.3333
1775317843680179,80,50,60,60
1775317843730925,40,25,60,60
1775317843781635,75,40,66.6667,20
1775317843832304,80,80,60,50
1775317843883007,40,40,60,75
1775317843933752,80,83.3333,100,100
1775317843984436,83.3333,40,60,50
1775317844035156,60,40,66.6667,25
1775317844085939,100,75,80,75
1775317844136702,80,60,80,85.7143
1775317844187382,50,50,60,50
1775317844238040,60,80,66.6667,80
1775317844288727,50,50,50,80
1775317844339430,66.6667,25,66.6667,50
1775317844390116,60,50,75,66.6667
1775317844440895,60,50,60,66.6667
1775317844491567,60,40,42.8571,57.1429
1775317844542283,80,40,33.3333,25
1775317844593034,40,83.3333,66.6667,66.6667
1775317844643733,60,40,60,60
1775317844694416,80,80,80,75
1775317844745179,80,50,50,66.6667
1775317844795872,71.4286,0,60,60
1775317844846563,60,40,60,40
1775317844897253,60,25,75,66.6667
1775317844947940,80,83.3333,83.3333,83.3333
1775317844998766,66.6667,60,75,60
1775317845049509,100,100,66.6667,100
1775317845100171,40,50,50,50
1775317845150832,66.6667,50,66.6667,60
1775317845201533,60,60,83.3333,50
1775317845252224,60,60,80,75
1775317845302938,60,80,40,50
1775317845353652,80,50,83.3333,75
1775317845404327,83.3333,83.3333,50,83.3333
1775317845455031,60,50,60,50
